Buchungstag,Wertstellung,Zahlungsgegner,IBAN,BIC,Verwendungszweck,Betrag,Währung
2016-09-05,2016-09-05,SPENDEN UEBER GIROCE,,,VIELEN DANK FUER IHRE GIROCENTS-SPENDE. IHR SPENDEN-CODE NQY7U92H,-0.33,EUR
2016-09-05,2016-09-05,VEREIN FUER HOCHSCHULSPORT,DE88290400900172511800,COBADEFFXXX,"Angebot 1100-016, Hochschul sport ID588-914, Entgelt, F erienprogramm Fr uehjahr 20 15 Telefon 042121861651",-11,EUR
2016-09-05,2016-09-05,VEREIN FUER HOCHSCHULSPORT,DE88290400900172511800,COBADEFFXXX,"Angebot 1100-017, Hochschul sport ID588-1681, Entgelt, Ferienprogramm F ruehjahr 2 015 Telefon 042121861651",-21,EUR
2016-09-05,2016-09-05,PayPal Europe S.a.r.l. et Cie S.C.A,DE88500700100175526303,DEUTDEFFXXX,"PP.4835.PP . GENMYMODEL, Ih r Einkauf bei GENMYMODEL",-5.47,EUR
2016-09-05,2016-09-05,PayPal Europe S.a.r.l. et Cie S.C.A,DE88500700100175526303,DEUTDEFFXXX,"PP.4835.PP . PATREON, Ihr E inkauf bei PATREON",-1.11,EUR
2016-09-02,2016-09-02,GA NR00002077 BLZ29050101 3,,,02.09/06.44UHR SPKHB-F030,-50,EUR
2016-09-02,2016-09-02,"AMAZON EU S.A R.L., NIEDERLASSUNG DEUTSCHLAND",DE93300308800013441006,TUBDDEDD,304-9082091-0787504 Amazon. de 2426298016657539,-44,EUR
2016-09-02,2016-09-02,PayPal Europe S.a.r.l. et Cie S.C.A,DE88500700100175526303,DEUTDEFFXXX,"PP.4835.PP . ALPHACOMM, Ihr Einkauf bei ALPHACOMM",-15,EUR
2016-09-02,2016-09-02,PayPal Europe S.a.r.l. et Cie S.C.A,DE88500700100175526303,DEUTDEFFXXX,"PP.4835.PP . STIFTUNGWAR, I hr Einkauf bei STIFTUNGWAR",-2.5,EUR
2016-09-02,2016-09-02,REWE Bremen Kulenkampffallee,DE94500101111932685100,ESSEDE5FXXX,310818522524613181256004373 REWE SAGT DANKE. 41404213,-11.78,EUR
2016-09-01,2016-09-01,Bremer Straßenbahn Aktiengesellschaft,DE93290500001002340009,BRLADE22XXX,Sollstellung 30141307/1/76 01.09.2016/,-57.1,EUR
2016-09-01,2016-09-01,Gothaer Lebensversicherung AG,DE56100500006632040657,BELADEBEXXX,79-712827-60 ABBUCHUNG AM 0 1.09.2016 LEBENS-VERSICHERU NG FILIP RYCHNAVSKY GL,-75.1,EUR
2016-09-01,2016-09-01,LIESELOTTE PISO,DE45200100200411761207,PBNKDEFFXXX,MIETE JUNGMANN RYCHNAVSKY,-725,EUR
2016-09-01,2016-09-01,,,,"Entgelte vom 30.07.2016 bis 31.08.2016                               7,30-  Grundpreis                  1 x    4,90                4,90-  Porto                       1 x    0,70                0,70- Porto                       2 x    0,85                1,70- -------------- Abrechnung 31.08.2016                                                7,30- Entgeltabrechnung",-7.3,EUR
2016-08-30,2016-08-30,GA NR00002056 BLZ29050101 3,,,30.08/18.09UHR SPKHB-F002,-50,EUR
2016-08-30,2016-08-30,REWE Bremen Kulenkampffallee,DE94500101111932685100,ESSEDE5FXXX,270819291984133181256004374 REWE SAGT DANKE. 41404213,-9.99,EUR
2016-08-29,2016-08-29,BAUHAUS BREMEN-DANKE,DE10300500000001777614,WELADEDDXXX,2016-08-27T12:18:46 Karte3 2018-12,-12.45,EUR
2016-08-29,2016-08-29,"DANKE, IHR LIDL",DE61300500000008000119,WELADEDDXXX,2016-08-27T11:48:10 Karte3 2018-12,-78.52,EUR
2016-08-25,2016-08-25,GA NR00002077 BLZ29050101 3,,,25.08/19.30UHR SPKHB-F030,-50,EUR
2016-08-24,2016-08-24,Lastschrift aus Kartenzahlung,DE86370100500968804501,PBNKDEFFXXX,2016-08-23T17:24:52 Karte3 2018-12,-10.45,EUR
2016-08-24,2016-08-24,REWE Markt GmbH-ZW-NL Nord,DE94500101111932685100,ESSEDE5FXXX,200810120120663181256032161 REWE SAGT DANKE. 41400395,-12.05,EUR
2016-08-24,2016-08-24,REWE Bremen Kulenkampffallee,DE94500101111932685100,ESSEDE5FXXX,200810301972903181256004374 REWE SAGT DANKE. 41404213,-13.6,EUR
2016-08-24,2016-08-24,REWE Bremen Kulenkampffallee,DE94500101111932685100,ESSEDE5FXXX,200809582511753181256004372 REWE SAGT DANKE. 41404213,-43.43,EUR
2016-08-23,2016-08-23,PayPal Europe S.a.r.l. et Cie S.C.A,DE88500700100175526303,DEUTDEFFXXX,"PP.4835.PP . ARTUR, Ihr Ein kauf bei ARTUR",-16.7,EUR
2016-08-22,2016-08-22,GA NR00002077 BLZ29050101 3,,,22.08/07.37UHR SPKHB-F030,-50,EUR
2016-08-22,2016-08-22,OIL TANKSTELLEN GMBH COKG,DE19300500000001458710,WELADEDDXXX,2016-08-21T11:15:00 Karte3 2018-12,-45.76,EUR
2016-08-19,2016-08-19,GA NR00002126 BLZ29050101 3,,,19.08/07.54UHR SPKHB-F507,-50,EUR
2016-08-19,2016-08-19,DB Vertrieb GmbH,DE02100100100152517108,PBNKDEFFXXX,Fahrschein 8MWGVP,-142.4,EUR
2016-08-17,2016-08-17,REWE Bremen Kulenkampffallee,DE94500101111932685100,ESSEDE5FXXX,150817401967263181256004374 REWE SAGT DANKE. 41404213,-27.36,EUR
2016-08-16,2016-08-16,Photo Dose 1,DE94300500000001643212,WELADEDDXXX,2016-08-15T12:59:48 Karte3 2018-12,-36.66,EUR
2016-08-16,2016-08-16,AMAZON PAYMENTS EUROPE S.C.A.,DE87300308801908262006,TUBDDEDD,304-4432103-9040303 Amazon .Mktplce EU-DE 012678701355 6304,-6.8,EUR
2016-08-15,2016-08-15,Lastschrift aus Kartenzahlung,DE02370100500555657502,PBNKDEFFXXX,2016-08-13T10:38:02 Karte3 2018-12,-25,EUR
2016-08-15,2016-08-15,Radio Bremen Anstalt d.öffentl.Rechts,DE22290500001071234567,BRLADE22XXX,Rundfunk 07.2016 - 09.2016 Beitragsnr. 547734877 Aende rungen ganz bequem: www.run dfunkbeitrag.de,-52.5,EUR
2016-08-15,2016-08-15,"DANKE, IHR LIDL",DE61300500000008000119,WELADEDDXXX,2016-08-13T13:54:24 Karte3 2018-12,-28.98,EUR
2016-08-15,2016-08-13,GA NR00002077 BLZ29050101 3,,,13.08/21.21UHR SPKHB-F030,-50,EUR
2016-08-09,2016-08-09,SAUBER. Waschstraßen GmbH,DE79291900240028621400,GENODEF1HB1,2016-08-08T19:28:24 Karte3 2018-12,-11.5,EUR
2016-08-09,2016-08-09,REWE Bremen Kulenkampffallee,DE94500101111932685100,ESSEDE5FXXX,060811141580903181256004371 REWE SAGT DANKE. 41404213,-47.15,EUR
2016-08-09,2016-08-09,PayPal Europe S.a.r.l. et Cie S.C.A,DE88500700100175526303,DEUTDEFFXXX,"PP.4835.PP . NETFLIX COM, I hr Einkauf bei NETFLIX COM",-8.99,EUR
2016-08-09,2016-08-09,PayPal Europe S.a.r.l. et Cie S.C.A,DE88500700100175526303,DEUTDEFFXXX,"PP.4835.PP . smallbug techn ikshop, Ihr Einkauf bei sma llbug technikshop, Artikel- 201482243574",-30.85,EUR
2016-08-08,2016-08-08,OIL TANKSTELLEN GMBH COKG,DE19300500000001458710,WELADEDDXXX,2016-08-06T13:00:27 Karte3 2018-12,-50.4,EUR
2016-08-08,2016-08-08,REWE Bremen Kulenkampffallee,DE94500101111932685100,ESSEDE5FXXX,040821322480163181256004373 REWE SAGT DANKE. 41404213,-19.48,EUR
2016-08-05,2016-08-05,Generali Versicherungen,DE09200400000622426500,COBADEHHXXX,"2114305552 AUG2016 91,89 PR IVATSCHUTZVERS.",-91.89,EUR
2016-08-05,2016-08-05,AMAZON PAYMENTS EUROPE S.C.A.,DE87300308801908262006,TUBDDEDD,303-4690387-4946728 Amazon .Mktplce EU-DE 052890298032 9840,-11.4,EUR
2016-08-04,2016-08-04,DEICHMANN SCHUHE,DE20360700500346600000,DEUTDEDEXXX,2016-08-03T17:37:25 Karte3 2018-12,-14.9,EUR
2016-08-04,2016-08-04,Telekom Deutschland GmbH,DE04200100200198418205,PBNKDEFFXXX,Rech.Nr. 9621967306 260716 Vertragskonto 5604026549,-41.53,EUR
2016-08-04,2016-08-04,SPENDEN UEBER GIROCE,,,VIELEN DANK FUER IHRE GIROCENTS-SPENDE. IHR SPENDEN-CODE GNXTEFG9,-0.3,EUR
2016-08-03,2016-08-03,secupay AG,DE35850400000801506700,COBADEFFXXX,Crowdfunding.TACode 7375486 .startnext.com TR0057440655 SP FUNUN Festival Syrische Kultur,-17.2,EUR
2016-08-02,2016-08-02,REWE Bremen Kulenkampffallee,DE94500101111932685100,ESSEDE5FXXX,300717452478633181256004372 REWE SAGT DANKE. 41404213,-30.75,EUR
2016-08-01,2016-08-01,TOTAL DEUTSCHLAND GM,DE07100208900355239250,HYVEDEMM488,2016-07-30T10:30:15 Karte3 2018-12,-46.65,EUR
2016-08-01,2016-08-01,PENTAHOTEL LEIPZIG,DE88860400000100935600,COBADEFFXXX,2016-07-29T19:35:56 Karte3 2018-12,-76.48,EUR
2016-08-01,2016-08-01,Bremer Straßenbahn Aktiengesellschaft,DE93290500001002340009,BRLADE22XXX,Sollstellung 30141307/1/75 01.08.2016/,-57.1,EUR
2016-08-01,2016-08-01,HUK-COBURG UNTERNEHMENSGRUPPE,DE14700500000002034343,BYLADEMM,"HUK-COBURG, REISEKRANKEN-VE RS. 350/265369-W",-6,EUR
2016-08-01,2016-08-01,Landesbank Hessen-Thuringen Girozentrale,DE47500500000959566027,HELADEFF,"2016-07-28T16:58:57 Karte3 2099-12 Original 1025,00 CZ K 1 Euro=27,12081000 CZK En tgelt 0,77 EUR",-38.56,EUR
2016-08-01,2016-08-01,Landesbank Hessen-Thuringen Girozentrale,DE47500500000959566027,HELADEFF,"2016-07-28T18:18:28 Karte3 2099-12 Original 486,00 CZK 1 Euro=27,08726000 CZK Ent gelt 0,77 EUR",-18.71,EUR
2016-08-01,2016-08-01,Landesbank Hessen-Thuringen Girozentrale,DE47500500000959566027,HELADEFF,"2016-07-28T16:37:22 Karte3 2018-12 Original 896,80 CZK 1 Euro=27,08726000 CZK Ent gelt 0,77 EUR",-33.88,EUR
2016-08-01,2016-08-01,Gothaer Lebensversicherung AG,DE56100500006632040657,BELADEBEXXX,79-712827-60 ABBUCHUNG AM 0 1.08.2016 LEBENS-VERSICHERU NG FILIP RYCHNAVSKY GL,-75.1,EUR
2016-08-01,2016-08-01,LIESELOTTE PISO,DE45200100200411761207,PBNKDEFFXXX,MIETE JUNGMANN RYCHNAVSKY,-725,EUR
2016-08-01,2016-07-30,,,,"Entgelte vom 01.07.2016 bis 29.07.2016                               4,90-  Grundpreis                  1 x    4,90                4,90- -------------- Abrechnung 29.07.2016                                                4,90- Entgeltabrechnung",-4.9,EUR
2016-07-26,2016-07-26,Landesbank Hessen-Thuringen Girozentrale,DE47500500000959566027,HELADEFF,"2016-07-23T11:50:36 Karte3 2018-12 Original 1685,60 CZ K 1 Euro=27,19518000 CZK En tgelt 0,77 EUR",-62.75,EUR
2016-07-26,2016-07-26,Landesbank Hessen-Thuringen Girozentrale,DE47500500000959566027,HELADEFF,"2016-07-24T10:03:50 Karte3 2018-12 Original 219,00 CZK 1 Euro=27,19518000 CZK Ent gelt 0,77 EUR",-8.82,EUR
2016-07-25,2016-07-25,Landesbank Hessen-Thuringen Girozentrale,DE47500500000959566027,HELADEFF,"2016-07-21T16:25:02 Karte3 2018-12 Original 534,56 CZK 1 Euro=27,17098000 CZK Ent gelt 0,77 EUR",-20.44,EUR
2016-07-21,2016-07-21,Landesbank Hessen-Thuringen Girozentrale,DE47500500000959566027,HELADEFF,"2016-07-19T09:10:21 Karte3 2018-12 Original 185,00 CZK 1 Euro=27,11112000 CZK Ent gelt 0,77 EUR",-7.59,EUR
2016-07-21,2016-07-21,Landesbank Hessen-Thuringen Girozentrale,DE47500500000959566027,HELADEFF,"2016-07-19T16:07:57 Karte3 2018-12 Original 569,00 CZK 1 Euro=27,11112000 CZK Ent gelt 0,77 EUR",-21.76,EUR
2016-07-21,2016-07-21,Landesbank Hessen-Thuringen Girozentrale,DE47500500000959566027,HELADEFF,"2016-07-19T16:54:12 Karte3 2018-12 Original 4482,00 CZ K 1 Euro=27,11112000 CZK En tgelt 1,65 EUR",-166.97,EUR
2016-07-21,2016-07-21,UNITED DOMAINS AG,DE79701500000111153375,SSKMDEMMXXX,UNITED-DOMAINS AG RECHNUNG AR20160719A0298847 IHRE REC HNUNG ONLINE UNTER WWW.UNIT ED-DOMAINS.DE,-19,EUR
2016-07-20,2016-07-20,Landesbank Hessen-Thuringen Girozentrale,DE47500500000959566027,HELADEFF,"2016-07-18T15:44:46 Karte3 2018-12 Original 1196,50 CZ K 1 Euro=27,07841000 CZK En tgelt 0,77 EUR",-44.96,EUR
2016-07-20,2016-07-20,Landesbank Hessen-Thuringen Girozentrale,DE47500500000959566027,HELADEFF,"2016-07-18T16:56:11 Karte3 2018-12 Original 273,82 CZK 1 Euro=27,07841000 CZK Ent gelt 0,77 EUR",-10.88,EUR
2016-07-19,2016-07-19,ARAL AG,DE85500400000600247132,DRESDEFF430,Aral Berg A9,-13.9,EUR
2016-07-19,2016-07-19,Kerstin Pintz,DE90546700950033771701,DEUTDESM546,"D182534, 2016-118176,www.co ntactlinsen-man.de",-19.54,EUR
2016-07-18,2016-07-18,ESSO DEUTSCHLAND GMBH,DE25200800000930401000,DRESDEFF200,2016-07-15T07:05:21 Karte3 2018-12,-42.33,EUR
2016-07-18,2016-07-18,Miss Pepper Gastro GmbH,DE06291623940045450800,GENODEF1OHZ,2016-07-15T12:05:41 Karte3 2018-12,-15,EUR
2016-07-15,2016-07-15,BAUHAUS BREMEN-DANKE,DE88300500000001252410,WELADEDDXXX,130719333324728181201064760 ELV65457557 13.07 19.33 ME 3,-21.95,EUR
2016-07-15,2016-07-15,Die Sparkasse Bremen AG,DE88870500003510008730,CHEKDE81XXX,"5787E2B00588 PREPAID 004916 096551405 VIELEN DANK 14.07 .2016 21-06-18        DATUM 14.07.2016, 21.07 UHR1.TAN 950475 ANZAHL 1",-15,EUR
2016-07-14,2016-07-14,GA NR00002126 BLZ29050101 3,,,14.07/17.27UHR SPKHB-F507,-400,EUR
2016-07-13,2016-07-13,GA NR00002077 BLZ29050101 3,,,13.07/18.08UHR SPKHB-F030,-400,EUR
2016-07-13,2016-07-13,EBAY.COM GLOBAL BILLING,GB86CHAS60924235351901,CHASGB2LXXX,AWV-M ELDEPFLICHT BEACHTEN  HOTLI NE BUNDESBANK:        (0800 ) 1234-111,-3.5,EUR
2016-07-12,2016-07-12,REWE Bremen Kulenkampffallee,DE94500101111932685100,ESSEDE5FXXX,090710372445983181256004372 REWE SAGT DANKE. 41404213,-44.79,EUR
2016-07-12,2016-07-12,REWE Markt GmbH-ZW-NL Nord,DE94500101111932685100,ESSEDE5FXXX,090714470097613181256032161 REWE SAGT DANKE. 41400395,-9.41,EUR
2016-07-11,2016-07-08,GA NR00002077 BLZ29050101 3,,,08.07/20.17UHR SPKHB-F030,-50,EUR
2016-07-07,2016-07-07,REWE Bremen Kulenkampffallee,DE94500101111932685100,ESSEDE5FXXX,050719062433423181256004373 REWE SAGT DANKE. 41404213,-26.64,EUR
2016-07-06,2016-07-06,AMAZON PAYMENTS EUROPE S.C.A.,DE87300308801908262006,TUBDDEDD,304-7454037-2412321 Amazon .Mktplce EU-DE 209927326201 2668,-3.87,EUR
2016-07-06,2016-07-06,Telekom Deutschland GmbH,DE04200100200198418205,PBNKDEFFXXX,Rech.Nr. 9621722705 270616 Vertragskonto 5604026549,-41.54,EUR
2016-07-05,2016-07-05,REWE Bremen Kulenkampffallee,DE94500101111932685100,ESSEDE5FXXX,020718451918763181256004374 REWE SAGT DANKE. 41404213,-13.15,EUR
2016-07-05,2016-07-05,REWE Bremen Kulenkampffallee,DE94500101111932685100,ESSEDE5FXXX,020711221917613181256004374 REWE SAGT DANKE. 41404213,-37.09,EUR
2016-07-04,2016-07-04,SPENDEN UEBER GIROCE,,,VIELEN DANK FUER IHRE GIROCENTS-SPENDE. IHR SPENDEN-CODE EB6B2XE2,-0.9,EUR
2016-07-04,2016-07-03,GA NR00002077 BLZ29050101 3,,,03.07/14.05UHR SPKHB-F030,-50,EUR
2016-07-04,2016-07-04,"JUNGMANN, KATHARINA",DE71500107000701371148,DEGUDEFFXXX,"GEMEINSAMES SPAREN DEGUSSA FILIP RYCHNAVSKY KATHARINA JUNGMANN              DATUM 02.07.2016, 19.05 UHR1.TAN 278128 ANZAHL 1",-1658.32,EUR
2016-07-01,2016-07-01,Gothaer Lebensversicherung AG,DE56100500006632040657,BELADEBEXXX,79-712827-60 ABBUCHUNG AM 0 1.07.2016 LEBENS-VERSICHERU NG FILIP RYCHNAVSKY GL,-75.1,EUR
2016-07-01,2016-07-01,GA NR00002126 BLZ29050101 3,,,01.07/06.44UHR SPKHB-F507,-50,EUR
2016-07-01,2016-07-01,Bremer Straßenbahn Aktiengesellschaft,DE93290500001002340009,BRLADE22XXX,Sollstellung 30141307/1/74 01.07.2016/,-57.1,EUR
2016-07-01,2016-07-01,PIO TAPAS BAR,DE21290501010080670680,SBREDE22XXX,2016-06-29T22:52:04 Karte3 2018-12,-13.8,EUR
2016-07-01,2016-07-01,LIESELOTTE PISO,DE45200100200411761207,PBNKDEFFXXX,MIETE JUNGMANN RYCHNAVSKY,-725,EUR
2016-07-01,2016-07-01,,,,"Abrechnungszeitraum vom 01.04.2016 bis 30.06.2016 Abrechnung 30.06.2016                                                0,00+  Sollzinssätze am 30.06.2016 10,9500 v.H. für Kontoüberziehungen  Die Anpassungen des Zinssatzes für Kontoüberziehungen sind abhängig von der Entwicklung des 3-Monats-EURIBOR. Abrechnung 30.06.2016",0,EUR
2016-07-01,2016-07-01,,,,"Entgelte vom 01.06.2016 bis 30.06.2016                               4,90-  Grundpreis                  1 x    4,90                4,90- -------------- Abrechnung 30.06.2016                                                4,90- Entgeltabrechnung",-4.9,EUR
